Fenes;Elec;Aete;Tubu;Crisi;Lich;Chli;Walk;Plan;Elph;Serp;Syll;Plum;Sert;Camp;Hydro;Litho;Calli;Rhodo;Cera;Spyr;Clado;Dict;Spha;Chor;Ecto
0;4,158273381;0,010791367;0,227338129;0;0,502158273;0;1,023021583;0,449496403;0,043165468;0,097122302;0;0;0;0,213669065;33,5971223;0,005395683;0,025107914;0,572841727;0,218705036;0;0;0;0,134892086;0,010791367;0,002158273
0,173285199;11,91516245;0,041516245;0,054512635;0;0;0,00333935;0,501805054;0,25198556;0,018050542;0,118574007;0;0;0;0;4,841516245;0;0;0,207707581;0,106859206;0,000902527;0;0,00133574;0,011732852;0;0,001083032
0;0;0,010869565;0;0;0,543478261;0;1,991304348;0,25;0,858695652;0;0;0;0;0;46,56521739;0;0;5,414347826;1,266521739;0;0;0;0,043478261;0;0,006956522
0;0,405;0,145;2,305;0,004;0,69;0;0,1;0,365;0,31;0,242;0;0;0;0,052;26,1;0;0;1,926;1,33;0;0;0;0,04;0;0
0;0,035869565;0,707880435;0,277717391;0;0,744021739;0;0;0,38826087;0,358695652;0,001630435;0;0;0;0,616847826;21,79347826;0;0;1,121195652;0,04076087;0;0;0;0;0,08423913;0
0;19,88121547;0,343232044;0,169143646;0,047928177;0,240331492;0;3,142265193;0,107734807;0,283149171;0,045441989;0;0;0;0;29,57458564;0;0;2,331767956;0,964088398;0,190607735;0;0,178176796;0;0;0
0;8,234978541;1,436266094;0,191201717;0,009227468;0,090128755;0,001287554;2,154506438;0,177896996;0,036266094;0,078540773;0;0;0;0;17,59656652;0,004613734;0;2,117918455;0,423712446;0,072961373;0;0,001845494;0;0,045064378;0
0;10,05586592;0,142458101;0,089385475;0;0;0;2,562849162;0,17877095;0,426815642;0,009162011;0;0;0,723463687;0,033519553;21,78156425;0;0,008379888;2,117039106;0,136871508;0;0;0,01396648;0,043575419;0;0,004469274
0;7,976190476;1,314285714;0;0;0,066666667;0;1,5;0,258809524;0,464285714;0,245952381;0;0;0,083333333;0;18,78571429;0,001428571;0,002857143;1,922619048;0,178571429;0,011904762;0;0;0;0;0
0;0,861244019;0,383971292;0,071770335;0,004952153;0,555023923;0;1;0,331578947;0,035885167;0,432894737;0;0;0,005023923;0,416722488;17,21291866;0;0,023684211;1,691363636;0,064593301;0;0;0;0,003588517;0;0
0;33,43646409;0;0,127624309;0;0,283149171;0;0,101933702;0,018508287;0,017955801;0,002265193;0;0;0;0,538121547;5,512707182;0;0;0,470828729;0,056629834;0;0;0;0;0;0
0;0,727272727;0,216783217;0,005244755;0,005594406;0;0;0,002913753;0,054545455;0;0;0;0;0;0,008857809;1,413170163;0;0;0,211538462;0,112470862;0;0;0;0,146853147;0;0
0;0,612282878;0,260545906;0;0,010173697;0;0,002146402;0;0,192096774;0;0,005707196;0;0;0;0;2,692307692;0;0,001240695;0,693548387;0,177419355;0;0;0;0,037220844;0,082630273;0
0;0;0,291320225;0,006882022;0,004438202;0;0,000842697;0;0,420393258;0;0,172050562;0;0;0;0,004213483;1,85744382;0;0,003932584;0,451264045;0,16011236;0;0;0;0,157865169;0,002106742;0
0,090425532;0,656572104;0,087943262;0,023758865;0,004444444;0;0,003191489;0;0,049208038;0;0;0;0,00070922;0;0;0,828014184;0;0;0,050827423;0,029669031;0;0;0;0,031205674;0,031560284;0
0,001878173;0,482233503;0,007614213;0;0,005964467;0;0,000761421;0,000634518;0,111167513;0;0,000761421;0;0;0;0,000634518;1,100253807;0;0,001395939;0,023984772;0,020177665;0;0;0;0,015862944;0;0
0;0;0,103856749;0,055371901;0,011432507;0;0,005785124;0;0,386707989;0;0;0;0;0;0,000826446;2,433471074;0;0,005785124;0,484848485;0,311570248;0;0;0;0,194903581;0,005785124;0
0;0,497113164;0,039491917;0,069861432;0,001963048;0;0,006120092;0,011547344;0,056351039;0;0;0;0;0;0;0,622401848;0;0;0,01778291;0,01108545;0;0;0;0,00404157;0;0
0;0,033898305;0,076271186;0,028813559;0,002542373;0;0;0;0,192288136;0;0,001694915;0;0;0;0,050847458;0,670338983;0;0,006355932;0,204237288;0,113559322;0,000847458;0;0,002542373;0,088983051;0,012711864;0
0,031982942;0;0,042217484;0,191897655;0,016385928;0;0,046471215;0;0,308518124;0;0,007036247;0;0;0;0;1,680170576;0;0,001172708;0,217164179;0,091151386;0,000639659;0;0;0,152654584;0,169509595;0
0,00719715;0,467933492;0,03827791;0,000605701;0,013432304;0;0,003931116;0;0,160819477;0;0,001187648;0;0;0;0;1,048319737;0;0;0,221486372;0,088735572;0;0;0;0,064180523;0,003562945;0
0;0,232254697;0,017745303;0;0,006158664;0;0,001565762;0,027557411;0,09256785;0,030793319;0,0782881;0;0;0;0;1,169102296;0;0,000626305;0,193632568;0,094467641;0;0;0;0,085073069;0,012004175;0
0,237529691;1,437054632;0,153206651;0;0,008551069;0;0,000712589;0;0,093467933;0;0,001425178;0;0,00783848;0;0,005498812;1,387173397;0;0,002137767;0,03847981;0,040617577;0;0;0;0,027909739;0;0
0,052036199;0,058823529;0,171719457;0;0,065723982;0;0,002828054;0,003733032;0,417420814;0;0,053303167;0;0;0;0,038099548;1,399321267;0;0;0,290950226;0,181900452;0;0;0;0,216063348;0,00678733;0
0,013297872;0,116356383;0,07893617;0;0,01662234;0;0,00837766;0,004787234;0,254335106;0;0,001329787;0;0;0;0,000664894;1,625;0;0;0,113962766;0,087234043;0;0;0;0,140984043;0,001595745;0
0;0;0,006081081;0,002905405;0,025777027;0;0;0;1,304391892;0;0,001891892;0;0;0;0;7,319256757;0;0;0,538648649;0,196081081;0;0;0;0,528952703;0,116554054;0
0,230443975;1,705073996;0,0602537;0;0,00422833;0;0,007610994;0,006342495;0,109513742;0;0,138160677;0;0;0;0,001268499;2,901691332;0;0,001268499;0,104968288;0,097674419;0;0;0;0,039112051;0,015221987;0
0;0,153908629;0,044162437;0,019035533;0,005329949;0;0;0,000761421;0,195482234;0;0,002284264;0;0;0;0,004568528;2,35786802;0;0,000761421;0,128172589;0,104695431;0;0;0;0,123604061;0,029314721;0
0,021212121;0,026515152;0,184974747;0,003787879;0,013510101;0;0,008333333;0,020833333;0,625707071;0,000757576;0,056818182;0;0;0;0;2,796717172;0;0,004671717;0,256313131;0,092171717;0;0;0;0,174873737;0,006060606;0
0;0,127906977;0,003875969;0,016085271;0,00620155;0;0,000484496;0,005232558;0,150988372;0;0,000581395;0;0;0,095930233;0,000581395;1,593992248;0;0,003682171;0,026065891;0,027906977;0;0;0;0,031686047;0,054651163;0
0;0,021802326;0,031395349;0;0,017994186;0,130813953;0,00872093;0,008197674;0,709563953;0;0,082674419;0;0;0,087616279;0;3,159593023;0;0,009156977;0,277906977;0,180232558;0;0;0;0,272819767;0,043604651;0
0;0,092375367;0,069061584;0,01143695;0,006158358;0;0,010557185;0;0,691495601;0;0,006158358;0;0;0;0;5,146627566;0;0,025513196;0,296803519;0,131451613;0;0;0;0,40659824;0,00659824;0
